fromNode	toNode	weight	direction	fromAltName	toAltName
Taurocholic acid	L-Aspartic acid	0.132556479982319	undirected	Taurocholic acid	L-Aspartic acid
Taurocholic acid	N-Acetyl-D-glucosamine	0.193774147334871	undirected	Taurocholic acid	N-Acetyl-D-glucosamine
Taurocholic acid	Ethylmalonic acid	0.108641884044103	undirected	Taurocholic acid	Ethylmalonic acid
Taurocholic acid	Sebacic acid	0.132556479982319	undirected	Taurocholic acid	Sebacic acid
Taurocholic acid	m-Coumaric acid	0.026574386186944	undirected	Taurocholic acid	m-Coumaric acid
Taurocholic acid	(R)-Mevalonic acid-5-pyrophosphate	0.132556479982319	undirected	Taurocholic acid	(R)-Mevalonic acid-5-pyrophosphate
Taurocholic acid	Adrenic acid	0.104623588987507	undirected	Taurocholic acid	Adrenic acid
Taurocholic acid	D-Cysteine	0.183086814380993	undirected	Taurocholic acid	D-Cysteine
Taurocholic acid	2',4'-Dihydroxyacetophenone	0.132556479982319	undirected	Taurocholic acid	2',4'-Dihydroxyacetophenone
Taurocholic acid	2-Propylphenol	0.227885865639469	undirected	Taurocholic acid	2-Propylphenol
Taurocholic acid	Glycocholic acid	0.203220271837398	undirected	Taurocholic acid	Glycocholic acid
Taurocholic acid	2-Hydroxyadipic acid	0.132556479982319	undirected	Taurocholic acid	2-Hydroxyadipic acid
Taurocholic acid	Octadecanedioic acid	0.148997188297429	undirected	Taurocholic acid	Octadecanedioic acid
Taurocholic acid	Tyramine	0.150680619291522	undirected	Taurocholic acid	Tyramine
Taurocholic acid	3-Hydroxyadipic acid	0.0258893093361611	undirected	Taurocholic acid	3-Hydroxyadipic acid
Taurocholic acid	Kynurenic acid	0.0261867880035246	undirected	Taurocholic acid	Kynurenic acid
Taurocholic acid	Pseudouridine	0.103974929950316	undirected	Taurocholic acid	Pseudouridine
Taurocholic acid	Octanoylcarnitine	0.132556479982319	undirected	Taurocholic acid	Octanoylcarnitine
Taurocholic acid	gamma-Glutamylcysteine	0.0615550857790488	undirected	Taurocholic acid	gamma-Glutamylcysteine
Taurocholic acid	2-Phenylaminoadenosine	0.132556479982319	undirected	Taurocholic acid	2-Phenylaminoadenosine
Taurocholic acid	3-Hydroxyanthranilic acid	0.0223449577463449	undirected	Taurocholic acid	3-Hydroxyanthranilic acid
Taurocholic acid	3,7-Dimethyluric acid	0.132556479982319	undirected	Taurocholic acid	3,7-Dimethyluric acid
Taurocholic acid	7-Methylxanthine	0.132556479982319	undirected	Taurocholic acid	7-Methylxanthine
Taurocholic acid	Imidazoleacetic acid	0.270778630484651	undirected	Taurocholic acid	Imidazoleacetic acid
Taurocholic acid	2-Phenylglycine	0.132556479982319	undirected	Taurocholic acid	2-Phenylglycine
Taurocholic acid	7,8-Dihydroneopterin	0.0972731926364805	undirected	Taurocholic acid	7,8-Dihydroneopterin
Taurocholic acid	Nicotinuric acid	0.132556479982319	undirected	Taurocholic acid	Nicotinuric acid
Taurocholic acid	1-Methyladenosine	0.0463297932642174	undirected	Taurocholic acid	1-Methyladenosine
Taurocholic acid	Gamma-Caprolactone	0.0268325260850246	undirected	Taurocholic acid	Gamma-Caprolactone
Taurocholic acid	5-Methoxytryptamine	0.132556479982319	undirected	Taurocholic acid	5-Methoxytryptamine
Taurocholic acid	4-Hydroxybenzaldehyde	0.0440257811793958	undirected	Taurocholic acid	4-Hydroxybenzaldehyde
Taurocholic acid	Isoleucyl-Glutamine	0.219428421069228	undirected	Taurocholic acid	Isoleucyl-Glutamine
Taurocholic acid	Harmine	0.132556479982319	undirected	Taurocholic acid	Harmine
Taurocholic acid	Isonicotinic acid	0.0449599537982542	undirected	Taurocholic acid	Isonicotinic acid
Taurocholic acid	3-Nitrotyrosine	0.154647957791439	undirected	Taurocholic acid	3-Nitrotyrosine
