fromNode	toNode	weight	direction	fromAltName	toAltName
myo-Inositol	4-Hydroxybenzoic acid	0.605440536233308	undirected	myo-Inositol	4-Hydroxybenzoic acid
myo-Inositol	Methionine	0.661154095047886	undirected	myo-Inositol	Methionine
myo-Inositol	Azelaic acid	0.551944241220483	undirected	myo-Inositol	Azelaic acid
myo-Inositol	N-Acetyl-L-glutamic acid	0.593158555531611	undirected	myo-Inositol	N-Acetyl-L-glutamic acid
myo-Inositol	N2-Acetylornithine	0.579367594513183	undirected	myo-Inositol	N2-Acetylornithine
myo-Inositol	D-Glutamine	0.71128639922619	undirected	myo-Inositol	D-Glutamine
myo-Inositol	Methylparaben	0.720742859270469	undirected	myo-Inositol	Methylparaben
myo-Inositol	Guanine	0.711960827235831	undirected	myo-Inositol	Guanine
myo-Inositol	L-Acetylcarnitine	0.719770465593424	undirected	myo-Inositol	L-Acetylcarnitine
myo-Inositol	Urocanic acid	0.274879352388035	undirected	myo-Inositol	Urocanic acid
myo-Inositol	3-Indolebutyric acid	0.588619645196115	undirected	myo-Inositol	3-Indolebutyric acid
myo-Inositol	1,3,7-Trimethyluric acid	0.710251829489902	undirected	myo-Inositol	1,3,7-Trimethyluric acid
myo-Inositol	N8-Acetylspermidine	0.381714184574686	undirected	myo-Inositol	N8-Acetylspermidine
myo-Inositol	Symmetric dimethylarginine	0.672837666397988	undirected	myo-Inositol	Symmetric dimethylarginine
myo-Inositol	N-Acetyltryptophan	0.721993287834701	undirected	myo-Inositol	N-Acetyltryptophan
myo-Inositol	Isoleucyl-Aspartate	0.546051889727881	undirected	myo-Inositol	Isoleucyl-Aspartate
myo-Inositol	4'-Methoxyacetophenone	0.586022061179501	undirected	myo-Inositol	4'-Methoxyacetophenone
myo-Inositol	Leucyl-Valine	0.444352220242159	undirected	myo-Inositol	Leucyl-Valine
myo-Inositol	Creatinine	0.688866383061178	undirected	myo-Inositol	Creatinine
4-Hydroxybenzoic acid	Methionine	0.679873964687644	undirected	4-Hydroxybenzoic acid	Methionine
4-Hydroxybenzoic acid	Azelaic acid	0.594446196300296	undirected	4-Hydroxybenzoic acid	Azelaic acid
4-Hydroxybenzoic acid	N-Acetyl-L-glutamic acid	0.622722702983937	undirected	4-Hydroxybenzoic acid	N-Acetyl-L-glutamic acid
4-Hydroxybenzoic acid	N2-Acetylornithine	0.565535820589298	undirected	4-Hydroxybenzoic acid	N2-Acetylornithine
4-Hydroxybenzoic acid	D-Glutamine	0.745615795457195	undirected	4-Hydroxybenzoic acid	D-Glutamine
4-Hydroxybenzoic acid	Methylparaben	0.755449819063557	undirected	4-Hydroxybenzoic acid	Methylparaben
4-Hydroxybenzoic acid	Guanine	0.74657541420348	undirected	4-Hydroxybenzoic acid	Guanine
4-Hydroxybenzoic acid	L-Acetylcarnitine	0.754501114521863	undirected	4-Hydroxybenzoic acid	L-Acetylcarnitine
4-Hydroxybenzoic acid	Urocanic acid	0.249649937356813	undirected	4-Hydroxybenzoic acid	Urocanic acid
4-Hydroxybenzoic acid	3-Indolebutyric acid	0.618732256600874	undirected	4-Hydroxybenzoic acid	3-Indolebutyric acid
4-Hydroxybenzoic acid	1,3,7-Trimethyluric acid	0.74541711631833	undirected	4-Hydroxybenzoic acid	1,3,7-Trimethyluric acid
4-Hydroxybenzoic acid	N8-Acetylspermidine	0.364811354560754	undirected	4-Hydroxybenzoic acid	N8-Acetylspermidine
4-Hydroxybenzoic acid	Symmetric dimethylarginine	0.699115172366953	undirected	4-Hydroxybenzoic acid	Symmetric dimethylarginine
4-Hydroxybenzoic acid	N-Acetyltryptophan	0.756720012382945	undirected	4-Hydroxybenzoic acid	N-Acetyltryptophan
4-Hydroxybenzoic acid	Isoleucyl-Aspartate	0.566385230650763	undirected	4-Hydroxybenzoic acid	Isoleucyl-Aspartate
4-Hydroxybenzoic acid	4'-Methoxyacetophenone	0.605910108079701	undirected	4-Hydroxybenzoic acid	4'-Methoxyacetophenone
4-Hydroxybenzoic acid	Leucyl-Valine	0.437157896150037	undirected	4-Hydroxybenzoic acid	Leucyl-Valine
4-Hydroxybenzoic acid	Creatinine	0.714821570215271	undirected	4-Hydroxybenzoic acid	Creatinine
Methionine	Azelaic acid	0.664041618408259	undirected	Methionine	Azelaic acid
Methionine	N-Acetyl-L-glutamic acid	0.684319960466678	undirected	Methionine	N-Acetyl-L-glutamic acid
Methionine	N2-Acetylornithine	0.597352079451023	undirected	Methionine	N2-Acetylornithine
Methionine	D-Glutamine	0.753380988738866	undirected	Methionine	D-Glutamine
Methionine	Methylparaben	0.762732709498431	undirected	Methionine	Methylparaben
Methionine	Guanine	0.75428491138112	undirected	Methionine	Guanine
Methionine	L-Acetylcarnitine	0.762233945388983	undirected	Methionine	L-Acetylcarnitine
Methionine	Urocanic acid	0.281674496466637	undirected	Methionine	Urocanic acid
Methionine	3-Indolebutyric acid	0.682836979155045	undirected	Methionine	3-Indolebutyric acid
Methionine	1,3,7-Trimethyluric acid	0.753375054406426	undirected	Methionine	1,3,7-Trimethyluric acid
Methionine	N8-Acetylspermidine	0.412023909280347	undirected	Methionine	N8-Acetylspermidine
Methionine	Symmetric dimethylarginine	0.701926606037608	undirected	Methionine	Symmetric dimethylarginine
Methionine	N-Acetyltryptophan	0.7643108093535	undirected	Methionine	N-Acetyltryptophan
Methionine	Isoleucyl-Aspartate	0.61394954500926	undirected	Methionine	Isoleucyl-Aspartate
Methionine	4'-Methoxyacetophenone	0.659501455707939	undirected	Methionine	4'-Methoxyacetophenone
Methionine	Leucyl-Valine	0.487649355615304	undirected	Methionine	Leucyl-Valine
Methionine	Creatinine	0.718344247345217	undirected	Methionine	Creatinine
Azelaic acid	N-Acetyl-L-glutamic acid	0.678343850333277	undirected	Azelaic acid	N-Acetyl-L-glutamic acid
Azelaic acid	N2-Acetylornithine	0.324861746074894	undirected	Azelaic acid	N2-Acetylornithine
Azelaic acid	D-Glutamine	0.810371805617447	undirected	Azelaic acid	D-Glutamine
Azelaic acid	Methylparaben	0.816946180651965	undirected	Azelaic acid	Methylparaben
Azelaic acid	Guanine	0.811939023088313	undirected	Azelaic acid	Guanine
Azelaic acid	L-Acetylcarnitine	0.819193856322826	undirected	Azelaic acid	L-Acetylcarnitine
Azelaic acid	Urocanic acid	0.219681572255411	undirected	Azelaic acid	Urocanic acid
Azelaic acid	3-Indolebutyric acid	0.687857356951565	undirected	Azelaic acid	3-Indolebutyric acid
Azelaic acid	1,3,7-Trimethyluric acid	0.81265280079876	undirected	Azelaic acid	1,3,7-Trimethyluric acid
Azelaic acid	N8-Acetylspermidine	0.312702626277742	undirected	Azelaic acid	N8-Acetylspermidine
Azelaic acid	Symmetric dimethylarginine	0.723348517873441	undirected	Azelaic acid	Symmetric dimethylarginine
Azelaic acid	N-Acetyltryptophan	0.820550632918711	undirected	Azelaic acid	N-Acetyltryptophan
Azelaic acid	Isoleucyl-Aspartate	0.374027579703491	undirected	Azelaic acid	Isoleucyl-Aspartate
Azelaic acid	4'-Methoxyacetophenone	0.444314805023863	undirected	Azelaic acid	4'-Methoxyacetophenone
Azelaic acid	Leucyl-Valine	0.361704553783604	undirected	Azelaic acid	Leucyl-Valine
Azelaic acid	Creatinine	0.747765823747411	undirected	Azelaic acid	Creatinine
N-Acetyl-L-glutamic acid	N2-Acetylornithine	0.457876302632206	undirected	N-Acetyl-L-glutamic acid	N2-Acetylornithine
N-Acetyl-L-glutamic acid	D-Glutamine	0.804677574174839	undirected	N-Acetyl-L-glutamic acid	D-Glutamine
N-Acetyl-L-glutamic acid	Methylparaben	0.812710445123825	undirected	N-Acetyl-L-glutamic acid	Methylparaben
N-Acetyl-L-glutamic acid	Guanine	0.805446926548932	undirected	N-Acetyl-L-glutamic acid	Guanine
N-Acetyl-L-glutamic acid	L-Acetylcarnitine	0.813561561402122	undirected	N-Acetyl-L-glutamic acid	L-Acetylcarnitine
N-Acetyl-L-glutamic acid	Urocanic acid	0.254637234407148	undirected	N-Acetyl-L-glutamic acid	Urocanic acid
N-Acetyl-L-glutamic acid	3-Indolebutyric acid	0.679280501711537	undirected	N-Acetyl-L-glutamic acid	3-Indolebutyric acid
N-Acetyl-L-glutamic acid	1,3,7-Trimethyluric acid	0.806201425304012	undirected	N-Acetyl-L-glutamic acid	1,3,7-Trimethyluric acid
N-Acetyl-L-glutamic acid	N8-Acetylspermidine	0.378892718383998	undirected	N-Acetyl-L-glutamic acid	N8-Acetylspermidine
N-Acetyl-L-glutamic acid	Symmetric dimethylarginine	0.727794870537879	undirected	N-Acetyl-L-glutamic acid	Symmetric dimethylarginine
N-Acetyl-L-glutamic acid	N-Acetyltryptophan	0.815238646322373	undirected	N-Acetyl-L-glutamic acid	N-Acetyltryptophan
N-Acetyl-L-glutamic acid	Isoleucyl-Aspartate	0.512647174885431	undirected	N-Acetyl-L-glutamic acid	Isoleucyl-Aspartate
N-Acetyl-L-glutamic acid	4'-Methoxyacetophenone	0.581823791205833	undirected	N-Acetyl-L-glutamic acid	4'-Methoxyacetophenone
N-Acetyl-L-glutamic acid	Leucyl-Valine	0.447466339608676	undirected	N-Acetyl-L-glutamic acid	Leucyl-Valine
N-Acetyl-L-glutamic acid	Creatinine	0.74872490256851	undirected	N-Acetyl-L-glutamic acid	Creatinine
N2-Acetylornithine	D-Glutamine	0.552716185433821	undirected	N2-Acetylornithine	D-Glutamine
N2-Acetylornithine	Methylparaben	0.563521676394968	undirected	N2-Acetylornithine	Methylparaben
N2-Acetylornithine	Guanine	0.553106123078625	undirected	N2-Acetylornithine	Guanine
N2-Acetylornithine	L-Acetylcarnitine	0.560627171432856	undirected	N2-Acetylornithine	L-Acetylcarnitine
N2-Acetylornithine	Urocanic acid	0.117760123578962	undirected	N2-Acetylornithine	Urocanic acid
N2-Acetylornithine	3-Indolebutyric acid	0.439959495369593	undirected	N2-Acetylornithine	3-Indolebutyric acid
N2-Acetylornithine	1,3,7-Trimethyluric acid	0.548976418991083	undirected	N2-Acetylornithine	1,3,7-Trimethyluric acid
N2-Acetylornithine	N8-Acetylspermidine	0.158709243905843	undirected	N2-Acetylornithine	N8-Acetylspermidine
N2-Acetylornithine	Symmetric dimethylarginine	0.561713482331436	undirected	N2-Acetylornithine	Symmetric dimethylarginine
N2-Acetylornithine	N-Acetyltryptophan	0.563268460433342	undirected	N2-Acetylornithine	N-Acetyltryptophan
N2-Acetylornithine	Isoleucyl-Aspartate	0.264258520451371	undirected	N2-Acetylornithine	Isoleucyl-Aspartate
