fromNode	toNode	weight	direction	fromAltName	toAltName
D-Galactose	Trehalose	0.143197792827452	undirected	D-Galactose	Trehalose
D-Galactose	L-Norleucine	0.0275593312862641	undirected	D-Galactose	L-Norleucine
D-Galactose	1,3,5-Trihydroxybenzene	0.0359252804842854	undirected	D-Galactose	1,3,5-Trihydroxybenzene
D-Galactose	Alanylvaline	0.0266590658087125	undirected	D-Galactose	Alanylvaline
3b,7a,12a-Trihydroxy-5b-cholanoic acid	Deoxycholic acid	0.0472765030303365	undirected	3b,7a,12a-Trihydroxy-5b-cholanoic acid	Deoxycholic acid
3b,7a,12a-Trihydroxy-5b-cholanoic acid	Bilirubin	0.0876810704095436	undirected	3b,7a,12a-Trihydroxy-5b-cholanoic acid	Bilirubin
3b,7a,12a-Trihydroxy-5b-cholanoic acid	Glutaric acid	0.0368847496408665	undirected	3b,7a,12a-Trihydroxy-5b-cholanoic acid	Glutaric acid
3b,7a,12a-Trihydroxy-5b-cholanoic acid	1,3,5-Trihydroxybenzene	0.0686101495780962	undirected	3b,7a,12a-Trihydroxy-5b-cholanoic acid	1,3,5-Trihydroxybenzene
3b,7a,12a-Trihydroxy-5b-cholanoic acid	beta-D-Glucosamine	0.0619785791587065	undirected	3b,7a,12a-Trihydroxy-5b-cholanoic acid	beta-D-Glucosamine
3b,7a,12a-Trihydroxy-5b-cholanoic acid	Oleoylethanolamide	0.0338510118527256	undirected	3b,7a,12a-Trihydroxy-5b-cholanoic acid	Oleoylethanolamide
3b,7a,12a-Trihydroxy-5b-cholanoic acid	Corticosterone	0.421802630547628	undirected	3b,7a,12a-Trihydroxy-5b-cholanoic acid	Corticosterone
Deoxycholic acid	p-Cresol	0.531468643552117	undirected	Deoxycholic acid	p-Cresol
Deoxycholic acid	Ursocholic acid	0.522632961577559	undirected	Deoxycholic acid	Ursocholic acid
Deoxycholic acid	Bilirubin	0.0489182310180818	undirected	Deoxycholic acid	Bilirubin
Deoxycholic acid	L-Tyrosine	0.0234952142615917	undirected	Deoxycholic acid	L-Tyrosine
Deoxycholic acid	12-Ketodeoxycholic acid	0.0290053228791741	undirected	Deoxycholic acid	12-Ketodeoxycholic acid
Deoxycholic acid	Allocholic acid	0.0313516703727059	undirected	Deoxycholic acid	Allocholic acid
Deoxycholic acid	2-Furoic acid	-0.0668567222795218	undirected	Deoxycholic acid	2-Furoic acid
Deoxycholic acid	Piperine	0.473417779083674	undirected	Deoxycholic acid	Piperine
Deoxycholic acid	(S)-Laudanosine	0.348584132654532	undirected	Deoxycholic acid	(S)-Laudanosine
Deoxycholic acid	Octanol	0.527480216926128	undirected	Deoxycholic acid	Octanol
Deoxycholic acid	N-Acetylputrescine	0.524801546076262	undirected	Deoxycholic acid	N-Acetylputrescine
Deoxycholic acid	N-Acetyl-Leu	0.506158289335633	undirected	Deoxycholic acid	N-Acetyl-Leu
Deoxycholic acid	Stanozolol	-0.0395214107590471	undirected	Deoxycholic acid	Stanozolol
Deoxycholic acid	Cinchonidine	0.490188098366719	undirected	Deoxycholic acid	Cinchonidine
Deoxycholic acid	Oleoylethanolamide	0.169625430095715	undirected	Deoxycholic acid	Oleoylethanolamide
Deoxycholic acid	Corticosterone	0.0542133905138918	undirected	Deoxycholic acid	Corticosterone
Deoxycholic acid	Prolylhydroxyproline	0.0774410471983703	undirected	Deoxycholic acid	Prolylhydroxyproline
Geranyl-PP	Linoelaidic acid	0.0734069033589817	undirected	Geranyl-PP	Linoelaidic acid
Geranyl-PP	Sphingosine	0.0496511494412326	undirected	Geranyl-PP	Sphingosine
Geranyl-PP	12-Ketodeoxycholic acid	0.0249184927141838	undirected	Geranyl-PP	12-Ketodeoxycholic acid
Geranyl-PP	Allocholic acid	0.021453706062816	undirected	Geranyl-PP	Allocholic acid
Geranyl-PP	Elaidic acid	0.100697146689154	undirected	Geranyl-PP	Elaidic acid
Geranyl-PP	N6,N6,N6-Trimethyl-L-lysine	-0.0349671284659191	undirected	Geranyl-PP	N6,N6,N6-Trimethyl-L-lysine
Geranyl-PP	Enterolactone	0.0632531613968041	undirected	Geranyl-PP	Enterolactone
Geranyl-PP	beta-Tocopherol	0.0586624704762206	undirected	Geranyl-PP	beta-Tocopherol
Geranyl-PP	Stearidonic acid	0.129621921608017	undirected	Geranyl-PP	Stearidonic acid
Geranyl-PP	Hydrocinchonine	0.0769105050350166	undirected	Geranyl-PP	Hydrocinchonine
Geranyl-PP	Cer(d18:1/16:0)	0.0508043574050133	undirected	Geranyl-PP	Cer(d18:1/16:0)
Geranyl-PP	Cer(d18:0/18:0)	0.0255571134501019	undirected	Geranyl-PP	Cer(d18:0/18:0)
Geranyl-PP	Prolylhydroxyproline	-0.037553220600728	undirected	Geranyl-PP	Prolylhydroxyproline
Geranyl-PP	Leucyl-Glycine	-0.0289702987215503	undirected	Geranyl-PP	Leucyl-Glycine
p-Cresol	Colubrinic acid	0.0759035829733903	undirected	p-Cresol	Colubrinic acid
p-Cresol	Ursocholic acid	0.831201040679637	undirected	p-Cresol	Ursocholic acid
p-Cresol	Bilirubin	0.0264830800273957	undirected	p-Cresol	Bilirubin
p-Cresol	Indoleacetic acid	-0.0428642166436516	undirected	p-Cresol	Indoleacetic acid
p-Cresol	2-Furoic acid	-0.296663143115477	undirected	p-Cresol	2-Furoic acid
p-Cresol	Acetylcholine	0.0228449038498264	undirected	p-Cresol	Acetylcholine
p-Cresol	Mesalazine	-0.0208494387261848	undirected	p-Cresol	Mesalazine
p-Cresol	Piperine	0.839287699992853	undirected	p-Cresol	Piperine
p-Cresol	(S)-Laudanosine	0.76348977028864	undirected	p-Cresol	(S)-Laudanosine
p-Cresol	Octanol	0.834024914860729	undirected	p-Cresol	Octanol
p-Cresol	N-Acetylputrescine	0.829682940128599	undirected	p-Cresol	N-Acetylputrescine
