fromNode	toNode	weight	direction	fromAltName	toAltName
Butyric acid	Glyoxylic acid	0.0881481918468643	undirected	Butyric acid	Glyoxylic acid
Butyric acid	Glycerol 3-phosphate	0.912053884747022	undirected	Butyric acid	Glycerol 3-phosphate
Butyric acid	Lactic acid	0.0944307557758682	undirected	Butyric acid	Lactic acid
Butyric acid	Phenylpyruvic acid	0.912053884747022	undirected	Butyric acid	Phenylpyruvic acid
Butyric acid	Succinic acid	0.0636812107051181	undirected	Butyric acid	Succinic acid
Butyric acid	D-Ribose	0.901629339599909	undirected	Butyric acid	D-Ribose
Butyric acid	Uracil	0.0504234048791894	undirected	Butyric acid	Uracil
Butyric acid	2-Furoylglycine	0.912053884747022	undirected	Butyric acid	2-Furoylglycine
Butyric acid	Dodecanedioic acid	0.912053884747022	undirected	Butyric acid	Dodecanedioic acid
Butyric acid	D-alpha-Aminobutyric acid	0.0599155233878511	undirected	Butyric acid	D-alpha-Aminobutyric acid
Butyric acid	Leucinic acid	0.142944336137671	undirected	Butyric acid	Leucinic acid
Butyric acid	Malonic acid	0.202196864956687	undirected	Butyric acid	Malonic acid
Butyric acid	Levulinic acid	0.912053884747022	undirected	Butyric acid	Levulinic acid
Butyric acid	Myristic acid	0.223397084877697	undirected	Butyric acid	Myristic acid
Butyric acid	p-Hydroxymandelic acid	0.912053884747022	undirected	Butyric acid	p-Hydroxymandelic acid
Butyric acid	Undecanedioic acid	0.0294553292420974	undirected	Butyric acid	Undecanedioic acid
Butyric acid	Dehydroepiandrosterone sulfate	0.398270673380297	undirected	Butyric acid	Dehydroepiandrosterone sulfate
Butyric acid	Arachidonic acid	0.131175568698327	undirected	Butyric acid	Arachidonic acid
Butyric acid	4-Methoxyphenylacetic acid	0.0643315753357429	undirected	Butyric acid	4-Methoxyphenylacetic acid
Butyric acid	Itaconic acid	0.132778266273995	undirected	Butyric acid	Itaconic acid
Butyric acid	Heneicosanoic acid	0.20426939020508	undirected	Butyric acid	Heneicosanoic acid
Butyric acid	Phosphonoacetate	0.88921860699746	undirected	Butyric acid	Phosphonoacetate
Butyric acid	Galactinol	0.912053884747022	undirected	Butyric acid	Galactinol
Butyric acid	2-Phenylpropionate	0.0445421700678506	undirected	Butyric acid	2-Phenylpropionate
Butyric acid	D-Tryptophan	0.15277388709694	undirected	Butyric acid	D-Tryptophan
Butyric acid	2,4-Di-tert-butylphenol	0.287896812463291	undirected	Butyric acid	2,4-Di-tert-butylphenol
Butyric acid	Mulberrin	0.912053884747022	undirected	Butyric acid	Mulberrin
Butyric acid	Limocitrin	0.642820936174471	undirected	Butyric acid	Limocitrin
Butyric acid	Indole-3-methyl acetate	0.0470878642962381	undirected	Butyric acid	Indole-3-methyl acetate
Butyric acid	1,2,3-Propanetricarboxylic acid	0.912053884747022	undirected	Butyric acid	1,2,3-Propanetricarboxylic acid
Butyric acid	4-tert-Butylphenol	0.912053884747022	undirected	Butyric acid	4-tert-Butylphenol
Butyric acid	p-Hydroxyhippuric acid	0.912053884747022	undirected	Butyric acid	p-Hydroxyhippuric acid
Butyric acid	Hesperetin 7-neohesperidoside	0.912053884747022	undirected	Butyric acid	Hesperetin 7-neohesperidoside
Butyric acid	Vanillin 4-sulfate	0.912053884747022	undirected	Butyric acid	Vanillin 4-sulfate
Butyric acid	Cyclic AMP	0.641464750113867	undirected	Butyric acid	Cyclic AMP
Butyric acid	gamma-Aminobutyric acid	0.272254124604806	undirected	Butyric acid	gamma-Aminobutyric acid
Butyric acid	Methylmalonic acid	0.912053884747022	undirected	Butyric acid	Methylmalonic acid
Butyric acid	Oleic acid	0.238616704015943	undirected	Butyric acid	Oleic acid
Butyric acid	Orotic acid	0.725549065717939	undirected	Butyric acid	Orotic acid
Butyric acid	Pyridoxine	0.235410709554635	undirected	Butyric acid	Pyridoxine
Butyric acid	Sphinganine	0.56714144939082	undirected	Butyric acid	Sphinganine
Butyric acid	17alpha-Estradiol	0.912053884747022	undirected	Butyric acid	17alpha-Estradiol
Butyric acid	Indolelactic acid	0.743621376117087	undirected	Butyric acid	Indolelactic acid
Butyric acid	Linoleic acid	0.200106458392308	undirected	Butyric acid	Linoleic acid
Butyric acid	Hydroxyoctanoic acid	0.912053884747022	undirected	Butyric acid	Hydroxyoctanoic acid
Butyric acid	L-Pipecolic acid	0.444839122941384	undirected	Butyric acid	L-Pipecolic acid
Butyric acid	Pelargonic acid	0.269238848161896	undirected	Butyric acid	Pelargonic acid
Butyric acid	Biliverdin	0.0493329454922133	undirected	Butyric acid	Biliverdin
Butyric acid	Spermidine	0.148579740372767	undirected	Butyric acid	Spermidine
Butyric acid	Pyridoxamine	0.912053884747022	undirected	Butyric acid	Pyridoxamine
Butyric acid	Nicotinic acid	0.46875932294382	undirected	Butyric acid	Nicotinic acid
Butyric acid	N-Acetyllactosamine	0.912053884747022	undirected	Butyric acid	N-Acetyllactosamine
Butyric acid	Glucose 1-phosphate	0.0521477191395513	undirected	Butyric acid	Glucose 1-phosphate
Butyric acid	Ethenodeoxyadenosine	0.912053884747022	undirected	Butyric acid	Ethenodeoxyadenosine
Butyric acid	Guanidine	0.912053884747022	undirected	Butyric acid	Guanidine
Butyric acid	all-trans-Retinoic acid	0.353746134916422	undirected	Butyric acid	all-trans-Retinoic acid
Butyric acid	2-Ethylacrylic acid	0.235004164089903	undirected	Butyric acid	2-Ethylacrylic acid
Butyric acid	17a-Ethynylestradiol	0.11285039689899	undirected	Butyric acid	17a-Ethynylestradiol
Butyric acid	Eicosapentaenoic acid	0.584719567120304	undirected	Butyric acid	Eicosapentaenoic acid
Butyric acid	2-Pyrrolidinone	0.052731083557083	undirected	Butyric acid	2-Pyrrolidinone
Butyric acid	3,4-Dimethylbenzoic acid	0.174755612180761	undirected	Butyric acid	3,4-Dimethylbenzoic acid
Butyric acid	Terephthalic acid	0.0671160146058981	undirected	Butyric acid	Terephthalic acid
Butyric acid	Nandrolone	0.0468890487462079	undirected	Butyric acid	Nandrolone
Butyric acid	Cortisone	0.809694719109321	undirected	Butyric acid	Cortisone
Butyric acid	Methylimidazoleacetic acid	0.451756241055693	undirected	Butyric acid	Methylimidazoleacetic acid
Butyric acid	Palmitoleic acid	0.16757530471566	undirected	Butyric acid	Palmitoleic acid
Butyric acid	5-Aminopentanoic acid	0.0815014271912029	undirected	Butyric acid	5-Aminopentanoic acid
Butyric acid	Pyrimidine	0.912053884747022	undirected	Butyric acid	Pyrimidine
Butyric acid	Diacetyl	0.912053884747022	undirected	Butyric acid	Diacetyl
Butyric acid	D-Proline	0.0499053254045035	undirected	Butyric acid	D-Proline
Butyric acid	L-Histidinol	0.184104487911292	undirected	Butyric acid	L-Histidinol
Butyric acid	4-Guanidinobutanoic acid	0.031176748689481	undirected	Butyric acid	4-Guanidinobutanoic acid
Butyric acid	4-Acetamidobutanoic acid	0.0572666091401861	undirected	Butyric acid	4-Acetamidobutanoic acid
