"","CRC","Ctrl"
"Taurocholic acid",-0.325243124015167,0.325243124015167
"Butyric acid",1,-1
"Glyoxylic acid",0.366106673564226,-0.366106673564226
"Glycerol 3-phosphate",1,-1
"Fumaric acid",-0.324742574533018,0.324742574533018
"D-Galactose",-0.059608060644748,0.059608060644748
"Lactic acid",0.353599902753772,-0.353599902753772
"L-Aspartic acid",-1,1
"Phenylpyruvic acid",1,-1
"myo-Inositol",0.264909302563316,-0.264909302563316
"N-Acetyl-D-glucosamine",-0.673443588358029,0.673443588358029
"Succinic acid",0.312579746383102,-0.312579746383102
"D-Ribose",0.933683596721996,-0.933683596721996
"Uracil",0.235127797777727,-0.235127797777727
"3b,7a,12a-Trihydroxy-5b-cholanoic acid",0.322912860663404,-0.322912860663404
"2-Furoylglycine",1,-1
"4-Hydroxybenzoic acid",0.34282801872384,-0.34282801872384
"Glutaconic acid",-0.455862800075427,0.455862800075427
"Ethylmalonic acid",-0.781890703942625,0.781890703942625
"Dodecanedioic acid",1,-1
"Deoxycholic acid",-0.227371885979796,0.227371885979796
"D-alpha-Aminobutyric acid",0.293412652748817,-0.293412652748817
"Leucinic acid",0.444222754882748,-0.444222754882748
"Malonic acid",0.502546275413103,-0.502546275413103
"Methionine",0.245582561230137,-0.245582561230137
"Levulinic acid",1,-1
"Azelaic acid",0.110106651929746,-0.110106651929746
"Sebacic acid",-1,1
"Myristic acid",0.322666332269412,-0.322666332269412
"p-Hydroxymandelic acid",1,-1
"Tetradecanedioic acid",-0.378790914500042,0.378790914500042
"Undecanedioic acid",0.213830423074997,-0.213830423074997
"Dehydroepiandrosterone sulfate",0.544139773521245,-0.544139773521245
"Arachidonic acid",0.402438781812827,-0.402438781812827
"N-Acetyl-L-glutamic acid",0.18866209850769,-0.18866209850769
"N-Acetylserotonin",-0.394348244941025,0.394348244941025
"Geranyl-PP",-0.291676956543924,0.291676956543924
"m-Coumaric acid",-0.563995091661649,0.563995091661649
"p-Cresol",-0.25068087653492,0.25068087653492
"(R)-Mevalonic acid-5-pyrophosphate",-1,1
"4-Methoxyphenylacetic acid",0.304907585708494,-0.304907585708494
"Itaconic acid",0.354251237563908,-0.354251237563908
"Adrenic acid",-0.552830440554506,0.552830440554506
"1,11-Undecanedicarboxylic acid",-0.267266809820053,0.267266809820053
"Heneicosanoic acid",0.497511404457899,-0.497511404457899
"N2-Acetylornithine",0.39953438313458,-0.39953438313458
"D-Cysteine",-0.640606504055406,0.640606504055406
"D-Glutamine",0.224045569850368,-0.224045569850368
"Phosphonoacetate",0.906028975669256,-0.906028975669256
"Galactinol",1,-1
"Linoelaidic acid",-0.258770400610807,0.258770400610807
"2-Phenylpropionate",0.23160203924372,-0.23160203924372
"1-Naphthol",0.184959730314897,-0.184959730314897
"D-Tryptophan",0.444420797420492,-0.444420797420492
"2,4-Di-tert-butylphenol",0.593046434670307,-0.593046434670307
"Mulberrin",1,-1
"Limocitrin",0.492886535397114,-0.492886535397114
"2',4'-Dihydroxyacetophenone",-1,1
"Indole-3-methyl acetate",0.200870961428785,-0.200870961428785
"5,7,3'-Trihydroxy-4'-methoxyflavanone",-0.281185509457138,0.281185509457138
"1,2,3-Propanetricarboxylic acid",1,-1
"4-tert-Butylphenol",1,-1
"Methylparaben",0.249572227270299,-0.249572227270299
"Propylparaben",0.127498681186158,-0.127498681186158
"2-Propylphenol",-0.609195656145684,0.609195656145684
"Colubrinic acid",0.0664908885750612,-0.0664908885750612
"Glycocholic acid",-0.451012936813932,0.451012936813932
"2-Hydroxyadipic acid",-1,1
"Ursocholic acid",-0.211060585118518,0.211060585118518
"p-Hydroxyhippuric acid",1,-1
"Hesperetin 7-neohesperidoside",1,-1
"Vanillin 4-sulfate",1,-1
"p-Coumaric acid sulfate",-0.54476789661052,0.54476789661052
"Octadecanedioic acid",-0.443243547063468,0.443243547063468
"Serotonin",-0.370991920098614,0.370991920098614
"Tetrahydrobiopterin",-0.424841646932998,0.424841646932998
"Bilirubin",0.186550001666494,-0.186550001666494
"Cyclic AMP",0.485310046434902,-0.485310046434902
"Pipecolic acid",0.251228599506849,-0.251228599506849
