"blue_hub","brown_hub","turquoise_hub","grey_hub"
"L-Aspartic acid","myo-Inositol","Butyric acid","p-Cresol"
"Ethylmalonic acid","4-Hydroxybenzoic acid","Glycerol 3-phosphate","Ursocholic acid"
"Sebacic acid","Methionine","Phenylpyruvic acid","Piperine"
"(R)-Mevalonic acid-5-pyrophosphate","Azelaic acid","D-Ribose","(S)-Laudanosine"
"2',4'-Dihydroxyacetophenone","N-Acetyl-L-glutamic acid","2-Furoylglycine","Octanol"
"2-Hydroxyadipic acid","D-Glutamine","Dodecanedioic acid","N-Acetylputrescine"
"Octanoylcarnitine","Methylparaben","Levulinic acid","N-Acetyl-Leu"
"2-Phenylaminoadenosine","Guanine","p-Hydroxymandelic acid","Cinchonidine"
"3,7-Dimethyluric acid","L-Acetylcarnitine","Phosphonoacetate",""
"7-Methylxanthine","3-Indolebutyric acid","Galactinol",""
"2-Phenylglycine","1,3,7-Trimethyluric acid","Mulberrin",""
"Nicotinuric acid","Symmetric dimethylarginine","1,2,3-Propanetricarboxylic acid",""
"5-Methoxytryptamine","N-Acetyltryptophan","4-tert-Butylphenol",""
"Harmine","4'-Methoxyacetophenone","p-Hydroxyhippuric acid",""
"Glycyl-Isoleucine","Creatinine","Hesperetin 7-neohesperidoside",""
"Betulin","","Vanillin 4-sulfate",""
"5'-Methylthioadenosine","","Methylmalonic acid",""
"Aminoadipic acid","","17alpha-Estradiol",""
"Maltol","","Hydroxyoctanoic acid",""
"Deoxyinosine","","Pyridoxamine",""
"Deoxyadenosine","","N-Acetyllactosamine",""
"","","Ethenodeoxyadenosine",""
"","","Guanidine",""
"","","Pyrimidine",""
"","","Diacetyl",""
"","","3-Methyladenine",""
"","","Alpha-Linolenoyl ethanolamide",""
"","","Prednisolone",""
"","","Methyl nicotinate",""
"","","Cyclamic acid",""
"","","DOPA",""
"","","p-Synephrine",""
"","","Cyromazine",""
"","","4-Pyridoxic acid",""
"","","L-Dihydroorotic acid",""
"","","Isomaltose",""
"","","Estrone",""
"","","Hydroxyacetone",""
"","","Cortexolone",""
"","","Glycylvaline",""
"","","Deoxyguanosine",""
"","","Chenodeoxycholic acid",""
"","","Methylguanidine",""
"","","Leucylalanine",""
"","","2,6-Dimethylaniline",""
