"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"Taurocholic acid",0.033571,0.0053628,0.014011,-0.018076,-0.023169,-0.039039,-0.22399,-0.018796,-0.04957,0.018283,-0.11465,-0.083851,0.043179,0.091924,-0.049966,-0.019581,0.076939,0.11409,-0.091195,0.16117
"Butyric acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.15264
"Glyoxylic acid",-0.048762,0.16395,0.057305,-0.002552,0.030494,0.045421,-0.011468,-0.005032,0.026917,-0.069833,-0.0168,0.012953,-0.017739,0.00016222,-0.012716,-0.012467,0.024183,-0.023832,0.0092558,-0.13386
"Glycerol 3-phosphate",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,-0.36611
"Fumaric acid",0.030777,0.014535,-0.02676,0.023335,-0.048629,0.097017,-0.03397,-0.064339,0.11955,0.0056909,0.18331,-0.083808,-0.093602,-0.045151,-0.12567,0.043791,-0.034842,0.16798,-0.16225,0.082502
"D-Galactose",0.0094997,-0.028503,-0.02933,-0.038681,-0.064819,0.11119,0.025148,-0.04638,-0.14424,0.031834,-0.04158,0.061177,-0.19811,-0.077451,0.093392,0.013607,0.10877,-0.14543,-0.18373,-0.062756
"Lactic acid",-0.040616,0.015256,-0.061619,-0.14668,-0.1331,-0.036329,0.032029,-0.010769,-0.0034689,-0.044344,0.0062061,-0.063335,0.0031996,-0.0042051,0.060951,0.033829,0.017233,-0.059781,-0.01845,0.095073
"L-Aspartic acid",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.54716
"Phenylpyruvic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.1004
"myo-Inositol",-0.032234,-0.0047971,-0.19905,0.0024009,0.017454,-0.055722,0.015819,0.0074127,-0.026439,-0.043586,-0.035569,-0.02195,-0.012589,-0.016537,-0.00038119,0.01941,-0.012535,0.019813,-0.0044659,0.22017
"N-Acetyl-D-glucosamine",0.066222,0.039264,-0.0058464,0.067357,-0.073224,-0.0089722,-0.15135,-0.043836,-0.015268,0.029906,0.0065804,-0.0051785,-0.097212,-0.043673,-0.048595,0.026572,0.049701,-0.02325,-0.04686,-0.037717
"Succinic acid",-0.042493,0.14829,0.046669,-0.0055394,0.028771,0.0016361,0.011909,0.031326,0.013875,-0.074698,-0.03473,-0.14637,-0.097511,0.046407,0.027318,-0.024445,-0.05829,-0.031095,0.0012525,-0.36598
"D-Ribose",-0.091547,-0.023098,-0.0078147,0.022453,-0.026218,0.061146,0.015649,0.061863,-0.03436,-0.018931,-0.028676,0.01521,-0.005722,-0.064518,0.036481,-0.011952,0.0085974,0.064393,0.01535,-0.30929
"Uracil",-0.028883,0.11491,0.10132,0.062024,-0.0032146,0.043442,-0.06778,0.03328,0.028008,-0.074325,-0.0098919,0.13999,0.019125,-0.049594,-0.0044028,0.11731,0.087298,-0.0086439,-0.013357,0.13252
"3b,7a,12a-Trihydroxy-5b-cholanoic acid",-0.027987,-0.066854,0.020357,-0.072782,-0.031501,-0.0059239,-0.016659,0.12104,0.077509,-0.046473,-0.058595,0.13131,-0.14973,0.15639,-0.062358,-0.031096,-0.17255,0.036105,-0.046059,-0.21189
"2-Furoylglycine",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,-0.14817
"4-Hydroxybenzoic acid",-0.041949,0.013775,-0.1803,0.025224,0.036334,-0.075638,-0.0093951,-0.026447,-0.010067,-0.025712,0.00051046,-0.0322,-0.0054316,0.00048241,-0.041785,-0.026596,0.069488,-0.0032369,0.044111,0.18621
"Glutaconic acid",0.044933,0.026991,-0.039857,0.028956,-0.045849,0.14897,-0.045043,-0.052338,0.0448,0.0026682,0.12643,-0.032364,-0.1546,-0.098797,-0.040991,0.095816,-0.047761,0.08801,-0.033392,-0.11255
"Ethylmalonic acid",0.078309,0.04533,-0.026203,0.043254,-0.063903,0.013002,-0.015364,0.056088,-0.083878,-0.010005,0.075513,0.050277,-0.075122,-0.069006,0.052528,0.0078897,-0.059038,0.046815,0.06617,0.067373
"Dodecanedioic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.00030645
"Deoxycholic acid",0.029003,-0.073306,0.057643,-0.10639,0.049494,-0.088109,-0.13087,0.067986,0.024105,-0.067314,-0.035297,0.053598,-0.050555,0.044705,0.062744,-0.071052,-0.087116,-0.052101,0.020333,0.023556
"D-alpha-Aminobutyric acid",-0.042521,0.15365,0.010155,-0.046788,-0.0078458,-0.019495,0.026759,0.013542,0.0017969,-0.059498,-0.044232,-0.14922,-0.094044,0.029671,-0.0016188,-0.01268,-0.049959,-0.026183,0.020122,0.030841
"Leucinic acid",-0.058522,0.15435,0.02182,-0.043582,-0.032796,-0.014125,-0.02071,-0.015978,0.04077,-0.053364,-0.028372,-0.017591,-0.0072445,0.021039,-0.020989,0.042572,0.017759,0.026713,-0.017612,-0.0061891
"Malonic acid",-0.060896,0.12992,0.031134,0.062959,0.087863,0.026754,-0.022221,-0.017261,-0.0015445,0.00061492,-0.016477,0.036524,-0.013056,-0.020529,-0.0039735,-0.049487,0.038313,-0.018027,-0.02585,0.0070733
"Methionine",-0.030202,-0.0096852,-0.19394,0.018584,0.040592,-0.073278,-0.018161,0.025654,0.011275,-0.0030946,-0.0096645,-0.047697,-0.0057555,0.042899,-0.019539,0.0077996,0.0097928,-0.0094884,-0.0032417,-0.022613
"Levulinic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Azelaic acid",-0.013801,-0.0031999,-0.14868,0.11985,0.075581,-0.060423,0.015063,0.019605,-0.032972,-0.094788,-0.031807,0.01993,0.025472,0.0062065,0.010112,0.086731,0.027202,-0.053437,0.042053,-0.027054
"Sebacic acid",0.098985,0.034818,-0.011999,-0.0044791,0.0016713,-0.01351,0.0014827,-0.01716,0.012784,0.0058728,0.0036081,0.0047066,-0.0048513,0.0066191,0.0061594,-0.00020654,-0.007052,0.0028041,-0.0064011,-0.0023373
"Myristic acid",-0.033613,-0.012439,0.015467,-0.06776,-0.097447,-0.032295,-0.0048725,-0.071802,-0.092292,0.15957,-0.027782,-0.060373,0.029681,0.05868,0.020574,-0.21662,0.082897,-0.035641,-0.17292,-0.0090888
"p-Hydroxymandelic acid",-0.098985,-0.034818,0.011999,0.0044791,-0.0016713,0.01351,-0.0014827,0.01716,-0.012784,-0.0058728,-0.0036081,-0.0047066,0.0048513,-0.0066191,-0.0061594,0.00020654,0.007052,-0.0028041,0.0064011,0.0030598
"Tetradecanedioic acid",0.035771,0.0077005,0.0015997,0.024871,-0.028269,-0.051095,-0.02625,-0.05432,0.077393,0.011146,0.025087,0.056952,-0.19877,-0.25368,0.13115,-0.047059,-0.096647,-0.01577,0.15401,0.028612
"Undecanedioic acid",-0.027606,0.044259,-0.063758,-0.13742,-0.12503,-0.054674,0.083165,0.010801,-0.050051,-0.023724,-0.071152,-0.068161,0.017448,-0.048997,-0.033971,0.021338,0.0096585,0.015758,-0.016034,-0.0060127
"Dehydroepiandrosterone sulfate",-0.062797,0.086677,0.0035572,0.0095673,0.021086,0.022298,0.053593,-0.019659,0.013892,0.022703,-0.067011,-0.0098725,-0.059487,-0.059429,-0.022898,0.17426,0.031927,-0.24347,-0.10812,0.0081291
"Arachidonic acid",-0.051177,0.12415,0.021149,-0.11402,-0.025376,-0.0039731,-0.011203,-0.013782,-0.033732,-0.066031,-0.039267,-0.072996,-0.070874,-0.004138,-0.018828,0.072426,-0.0022547,-0.057361,0.011016,0.019668
"N-Acetyl-L-glutamic acid",-0.024405,0.010152,-0.17243,0.089042,0.06299,-0.047553,-0.021899,0.019513,0.010859,-0.032192,0.038729,-0.052829,-0.017438,0.0008389,-0.07121,0.07364,-0.022284,0.035752,-0.032108,-0.022219
