"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20"
"CRC_01",-13.71,14,5.4049,2.6464,4.1627,0.66769,0.20219,1.0597,0.19234,-2.175,-1.0382,-3.6126,-2.2438,0.7362,0.46037,-0.18102,-0.69839,-0.40801,-0.047274,3.7418e-15
"CRC_02",-8.6359,-2.6812,1.9925,1.4503,0.48719,0.98754,1.7181,-1.466,-3.8194,4.6727,0.86205,0.37251,-1.6369,-0.81157,0.042505,-4.807,1.9833,-0.95392,-2.824,2.3649e-15
"CRC_03",-8.3052,-3.3254,2.7462,1.588,0.26765,0.74036,1.2783,-1.1698,-1.9862,5.6546,-1.4314,-2.3562,2.9717,-1.6798,-0.5976,2.083,-4.3311,1.3373,0.83914,5.7907e-15
"CRC_04",-11.142,-2.1968,-15.138,6.2265,5.4719,-3.3351,-1.424,-0.26122,0.090489,-0.80962,-0.15455,-0.50434,-0.1108,0.38231,-0.23392,0.27714,0.035663,-0.10418,0.022332,1.4417e-14
"CRC_05",-11.914,5.9064,2.5144,0.91588,0.55561,0.12774,-2.2953,-1.7278,1.4089,0.65284,0.99575,6.9351,3.3945,-1.7712,-1.5136,1.5494,1.9683,0.75546,0.1008,-2.5101e-15
"CRC_06",-8.2231,-4.1112,2.0504,-0.27688,-1.82,0.97142,-2.2328,0.94874,2.4096,-2.5776,3.7743,-1.705,4.282,0.53085,5.8543,-1.0572,-0.098426,-0.61069,-0.35657,9.7014e-15
"CRC_07",-5.9231,-6.5279,3.6155,1.3425,0.058751,1.8387,1.2389,-0.71219,-0.99204,-2.5581,0.47935,-2.3183,-0.31728,-0.24996,-2.7095,-0.96898,3.183,1.0859,4.3928,3.7175e-15
"CRC_08",-7.8639,-5.3871,2.5719,-1.0184,-0.097013,0.14327,-0.69441,5.3199,3.6999,-0.51593,-1.1567,3.7372,-2.7845,3.7103,-1.2762,-1.842,-2.8598,1.2318,-0.018149,-1.844e-14
"CRC_09",-6.3287,-7.0612,2.8249,-0.37942,-0.7849,2.1644,-0.092818,0.28775,-1.6837,-2.7128,-2.0528,0.24091,-2.8506,-1.0251,0.30792,5.069,0.98198,-2.3161,-2.2967,2.9365e-15
"CRC_10",-12.636,3.7316,-6.178,-11.717,-8.5507,-2.6673,2.1419,-0.67196,-0.34196,-0.048383,-0.51029,-1.0585,-0.44806,-0.13403,-0.61307,-0.1147,0.066978,-0.095094,0.35124,3.4694e-18
"Ctrl_01",9.3492,0.87516,-1.257,2.0646,-3.441,2.7277,-1.9722,-0.56313,3.333,-0.36302,5.6569,-2.7414,-1.2717,-1.1288,-3.5315,0.78656,-0.27664,2.2819,-2.4514,1.0568e-14
"Ctrl_02",8.4847,1.3212,-0.4359,3.4322,-3.7848,-1.4291,-2.1242,-1.7473,1.6893,2.2662,0.45094,1.7616,-5.2208,-3.387,3.8276,-0.016064,-0.65908,-0.23617,2.5221,-1.1086e-14
"Ctrl_03",9.6842,0.36928,1.6715,2.5449,-4.5719,-3.0323,-7.4498,-1.8252,0.22074,0.81308,-5.9259,-1.8013,1.6647,2.6206,-0.33752,-0.539,1.5598,0.64422,-0.81874,-6.8088e-15
"Ctrl_04",10.976,3.5387,-3.6356,2.1901,-3.1868,4.823,0.4651,6.0047,-7.3843,-2.1631,-0.31852,1.6874,1.1369,-0.26283,0.97022,-0.23342,-0.41273,1.432,0.20501,-2.8536e-15
"Ctrl_05",8.7296,1.1013,-3.9008,-4.0882,3.6435,10.313,0.62305,-5.6883,2.0084,0.53081,-1.6204,0.72517,0.16481,2.277,0.56759,-0.42289,-0.53241,-0.94648,0.54448,-1.0611e-14
"Ctrl_06",9.8369,0.76881,1.0904,2.9802,-2.393,-2.6283,1.1376,-0.37187,0.010296,-2.0254,1.1821,0.69321,2.0463,-0.41428,-3.2447,-1.4365,-2.3249,-5.0963,0.69536,5.8391e-15
"Ctrl_07",9.8691,-1.064,2.0308,-9.2806,8.5813,-4.0184,-5.9426,0.24439,-3.4461,-0.21655,2.3553,-0.099367,-0.64002,-0.75253,-0.27071,0.0005954,-0.60077,0.17282,0.29229,-1.1268e-14
"Ctrl_08",8.0974,0.59098,2.2138,2.0532,-0.099295,-5.3688,6.4253,-4.2681,-2.1391,-0.17095,2.5593,1.225,-0.42702,4.9897,1.4229,1.8335,0.26271,1.3152,-0.19344,-1.5795e-15
"Ctrl_09",9.8551,-1.2943,0.69811,-1.2891,3.1229,-2.6185,5.8679,-0.52116,3.0529,-3.6824,-4.111,0.13819,1.2535,-4.2946,0.62926,-1.6322,-0.1434,1.9106,-1.455,1.6324e-15
"Ctrl_10",9.8002,1.4462,-0.88034,-1.3848,2.3779,-0.40692,3.1297,7.129,3.6771,5.4287,0.0039916,-1.3193,1.037,0.66461,0.24554,1.6517,2.896,-1.4004,0.49565,2.4763e-15
