"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"Taurocholic acid",0.033694,-0.00084992,-0.012223,-0.029479,-0.033937,0.052847,0.029833,0.049372
"Butyric acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Glyoxylic acid",-0.046205,0.14054,-0.10252,0.10283,-0.077957,0.014083,-0.046029,0.037784
"Glycerol 3-phosphate",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Fumaric acid",0.031223,0.017229,0.024157,0.095617,0.071547,-0.12147,0.056238,0.10741
"D-Galactose",0.0089254,-0.033011,-0.049748,0.0035885,0.097994,-0.044278,-0.00081226,0.051661
"Lactic acid",-0.03985,0.049224,0.033999,-0.11606,0.059282,0.017135,-0.065302,0.08941
"L-Aspartic acid",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Phenylpyruvic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"myo-Inositol",-0.031265,0.058223,0.040156,-0.20663,0.14443,-0.054345,0.10365,-0.052432
"N-Acetyl-D-glucosamine",0.067063,0.02955,-0.01199,0.045443,-0.031445,-0.057324,0.078294,-0.041561
"Succinic acid",-0.040124,0.12975,-0.091647,0.071449,-0.055679,0.084694,-0.017745,0.017149
"D-Ribose",-0.092466,-0.030672,-0.082828,-0.00026181,0.035266,-0.022955,0.025773,-0.0080784
"Uracil",-0.027604,0.069478,-0.12215,0.15016,-0.11613,0.0047632,-0.016642,-0.025751
"3b,7a,12a-Trihydroxy-5b-cholanoic acid",-0.029376,-0.065791,0.023948,0.031139,0.12713,0.12728,-0.097846,-0.013082
"2-Furoylglycine",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"4-Hydroxybenzoic acid",-0.040676,0.07649,0.059579,-0.18971,0.082006,-0.088302,0.089475,-0.082021
"Glutaconic acid",0.045505,0.019263,-0.042642,0.092119,0.095063,-0.1503,0.035676,0.063094
"Ethylmalonic acid",0.079207,0.028361,-0.084328,0.015603,0.039345,0.0088345,0.047607,-0.085607
"Dodecanedioic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Deoxycholic acid",0.027663,-0.074144,0.062281,-0.043237,0.0083557,0.1769,-0.14308,0.0029845
"D-alpha-Aminobutyric acid",-0.039749,0.15129,-0.069618,0.01238,-0.041517,0.069603,-0.02782,0.04087
"Leucinic acid",-0.055779,0.15361,-0.045784,0.044466,-0.055664,0.033176,-0.036309,0.055729
"Malonic acid",-0.058876,0.11588,-0.071999,0.091224,-0.06537,-0.003488,0.01562,-0.022423
"Methionine",-0.029309,0.054289,0.058884,-0.19226,0.14138,-0.056257,0.08474,-0.090353
"Levulinic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Azelaic acid",-0.013214,0.033617,0.003898,-0.13932,0.058681,-0.062994,0.16468,-0.1592
"Sebacic acid",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"Myristic acid",-0.03379,-0.00089664,0.053612,-0.011045,-0.0073866,0.040713,-0.0053511,0.077245
"p-Hydroxymandelic acid",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Tetradecanedioic acid",0.036231,0.018565,0.089437,0.038495,-0.025447,-0.038083,-0.0068661,-0.063905
"Undecanedioic acid",-0.026324,0.072312,-0.0087134,-0.15314,0.017746,0.037743,-0.028411,0.10491
"Dehydroepiandrosterone sulfate",-0.061357,0.08695,-0.038698,0.030485,-0.039845,-0.030726,-0.00038866,0.024348
"Arachidonic acid",-0.048971,0.1239,-0.060166,-0.020114,-0.043365,0.06551,-0.092601,0.10101
"N-Acetyl-L-glutamic acid",-0.023397,0.058105,0.022235,-0.13538,0.10799,-0.074599,0.153,-0.098785
"N-Acetylserotonin",0.045134,-0.051314,-0.082117,-0.050861,0.11805,0.015993,-0.034251,0.0029981
"Geranyl-PP",0.030562,-0.029556,0.10177,0.051878,-0.1122,0.016929,0.076413,-0.088769
"m-Coumaric acid",0.05665,0.018466,-0.02022,0.00056964,0.096366,-0.063978,-0.075434,0.15988
"p-Cresol",0.025859,-0.0038362,0.035092,-0.10932,-0.024063,0.15915,-0.13316,0.061693
"(R)-Mevalonic acid-5-pyrophosphate",0.10001,0.032807,0.013646,0.004036,0.0024185,0.0014409,0.0005846,0.00036564
"4-Methoxyphenylacetic acid",-0.037968,0.094526,0.03704,-0.10844,0.020854,-0.021321,-0.090214,0.089501
"Itaconic acid",-0.043872,0.11255,-0.01768,0.035476,-0.077751,-0.050905,-0.033275,0.0048719
"Adrenic acid",0.054389,0.020177,0.064839,0.043981,-0.085758,-0.030707,0.098976,-0.098822
"1,11-Undecanedicarboxylic acid",0.027795,0.0069237,-0.056108,-0.01341,-0.016496,0.027073,-0.031295,-0.028384
"Heneicosanoic acid",-0.05782,0.10747,-0.069785,0.082125,-0.073621,0.040876,0.050386,0.0018874
"N2-Acetylornithine",-0.043364,0.033745,0.047003,-0.20577,0.11895,-0.075159,0.060755,0.045905
"D-Cysteine",0.063964,0.027782,-0.036758,0.066073,0.035555,-0.068365,0.060233,-0.068175
"D-Glutamine",-0.026219,0.039845,0.062926,-0.15325,0.10433,-0.072775,0.12949,-0.105
"Phosphonoacetate",-0.09099,-0.025393,-0.016933,0.016961,0.051405,-0.063278,-0.029794,0.06202
"Galactinol",-0.10001,-0.032807,-0.013646,-0.004036,-0.0024185,-0.0014409,-0.0005846,-0.00036564
"Linoelaidic acid",0.029847,-0.059069,0.072723,0.013683,-0.10351,0.017467,0.014689,-0.039719
"2-Phenylpropionate",-0.032036,0.13513,-0.10087,0.11586,-0.1263,0.036472,0.0063281,-0.011543
"1-Naphthol",-0.016316,-0.048798,0.020603,0.089438,0.028049,-0.0012746,0.04441,0.035545
"D-Tryptophan",-0.054173,0.12936,-0.011733,-0.080768,0.009962,0.019506,-0.061137,0.069579
