"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"CRC_01",-12.714,10.518,-4.4977,4.2889,-3.3116,2.6808,0.27871,-0.056719
"CRC_02",-8.8835,-2.9642,0.26512,1.4113,-0.092854,0.38769,0.97598,0.56514
"CRC_03",-8.6243,-3.7507,0.29006,1.2289,-0.78757,0.99735,2.8574,2.8062
"CRC_04",-10.872,2.8653,2.6923,-6.7343,4.5836,-2.5924,5.2234,-4.3865
"CRC_05",-11.422,5.1836,0.05295,2.1309,-3.3387,-2.3496,-1.7089,0.14807
"CRC_06",-8.5854,-4.2121,0.66189,2.098,1.6296,0.77552,-0.36615,0.058324
"CRC_07",-6.5945,-7.7156,-1.973,-2.6422,-6.0828,-4.9752,-2.4723,-1.8241
"CRC_08",-8.3474,-5.547,0.83229,3.6978,5.1365,3.8965,-2.6489,-2.3131
"CRC_09",-7.0146,-7.8571,-1.2757,-0.095065,0.084919,0.74993,0.71727,1.6492
"CRC_10",-12.004,6.8005,1.5978,-5.7931,1.9439,0.31265,-2.9079,3.3223
"Ctrl_01",9.3838,0.61983,0.061809,2.6319,1.5708,-2.344,2.9581,3.8306
"Ctrl_02",8.6263,1.931,2.9945,3.2333,0.29108,-2.2482,-0.91187,-5.1137
"Ctrl_03",9.6585,0.0019092,0.91808,0.23441,-2.9131,0.29123,3.1597,0.17802
"Ctrl_04",11.014,0.21676,-10.179,-1.7882,3.7213,1.7391,2.7891,-1.7077
"Ctrl_05",8.8748,1.8662,0.69276,3.1562,5.2697,-5.8873,-2.71,4.7382
"Ctrl_06",9.835,0.22295,-0.10124,-1.1084,-3.9421,-0.81383,1.8599,-1.3549
"Ctrl_07",9.8132,-0.29955,1.3359,-4.6226,-0.77587,5.456,-5.321,1.9743
"Ctrl_08",8.2234,1.882,5.732,2.4438,-0.85877,3.6148,1.6957,-3.3279
"Ctrl_09",9.7723,-0.57297,1.9557,-2.5212,-2.5027,1.642,2.4127,4.4587
"Ctrl_10",9.8597,0.81155,-2.0567,-1.2504,0.37477,-1.3328,-5.8808,-3.6445
