"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5"
"Deoxyguanosine",1.6628,1.6463,1.6447,1.6446,1.6446
"Butyric acid",1.6628,1.6463,1.6447,1.6446,1.6446
"Glycerol 3-phosphate",1.6628,1.6463,1.6447,1.6446,1.6446
"L-Aspartic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"Phenylpyruvic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"2-Furoylglycine",1.6628,1.6463,1.6447,1.6446,1.6446
"Dodecanedioic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"Levulinic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"Sebacic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"p-Hydroxymandelic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"(R)-Mevalonic acid-5-pyrophosphate",1.6628,1.6463,1.6447,1.6446,1.6446
"Galactinol",1.6628,1.6463,1.6447,1.6446,1.6446
"Mulberrin",1.6628,1.6463,1.6447,1.6446,1.6446
"2',4'-Dihydroxyacetophenone",1.6628,1.6463,1.6447,1.6446,1.6446
"1,2,3-Propanetricarboxylic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"4-tert-Butylphenol",1.6628,1.6463,1.6447,1.6446,1.6446
"2-Hydroxyadipic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"p-Hydroxyhippuric acid",1.6628,1.6463,1.6447,1.6446,1.6446
"Hesperetin 7-neohesperidoside",1.6628,1.6463,1.6447,1.6446,1.6446
"Vanillin 4-sulfate",1.6628,1.6463,1.6447,1.6446,1.6446
"Methylmalonic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"17alpha-Estradiol",1.6628,1.6463,1.6447,1.6446,1.6446
"Hydroxyoctanoic acid",1.6628,1.6463,1.6447,1.6446,1.6446
"Octanoylcarnitine",1.6628,1.6463,1.6447,1.6446,1.6446
"2-Phenylaminoadenosine",1.6628,1.6463,1.6447,1.6446,1.6446
"Pyridoxamine",1.6628,1.6463,1.6447,1.6446,1.6446
"N-Acetyllactosamine",1.6628,1.6463,1.6447,1.6446,1.6446
"Ethenodeoxyadenosine",1.6628,1.6463,1.6447,1.6446,1.6446
"Guanidine",1.6628,1.6463,1.6447,1.6446,1.6446
"3,7-Dimethyluric acid",1.6628,1.6463,1.6447,1.6446,1.6446
"7-Methylxanthine",1.6628,1.6463,1.6447,1.6446,1.6446
"2-Phenylglycine",1.6628,1.6463,1.6447,1.6446,1.6446
"Nicotinuric acid",1.6628,1.6463,1.6447,1.6446,1.6446
"Pyrimidine",1.6628,1.6463,1.6447,1.6446,1.6446
"Diacetyl",1.6628,1.6463,1.6447,1.6446,1.6446
