"","V","p.value","-log10(p)","FDR"
"Butyric acid",100,1.5938e-05,4.7976,6.8716e-05
"Glycerol 3-phosphate",100,1.5938e-05,4.7976,6.8716e-05
"L-Aspartic acid",0,1.5938e-05,4.7976,6.8716e-05
"Phenylpyruvic acid",100,1.5938e-05,4.7976,6.8716e-05
"2-Furoylglycine",100,1.5938e-05,4.7976,6.8716e-05
"Dodecanedioic acid",100,1.5938e-05,4.7976,6.8716e-05
"Levulinic acid",100,1.5938e-05,4.7976,6.8716e-05
"Sebacic acid",0,1.5938e-05,4.7976,6.8716e-05
"p-Hydroxymandelic acid",100,1.5938e-05,4.7976,6.8716e-05
"(R)-Mevalonic acid-5-pyrophosphate",0,1.5938e-05,4.7976,6.8716e-05
"Galactinol",100,1.5938e-05,4.7976,6.8716e-05
"Mulberrin",100,1.5938e-05,4.7976,6.8716e-05
"2',4'-Dihydroxyacetophenone",0,1.5938e-05,4.7976,6.8716e-05
"1,2,3-Propanetricarboxylic acid",100,1.5938e-05,4.7976,6.8716e-05
"4-tert-Butylphenol",100,1.5938e-05,4.7976,6.8716e-05
"2-Hydroxyadipic acid",0,1.5938e-05,4.7976,6.8716e-05
"p-Hydroxyhippuric acid",100,1.5938e-05,4.7976,6.8716e-05
"Hesperetin 7-neohesperidoside",100,1.5938e-05,4.7976,6.8716e-05
"Vanillin 4-sulfate",100,1.5938e-05,4.7976,6.8716e-05
"Methylmalonic acid",100,1.5938e-05,4.7976,6.8716e-05
"17alpha-Estradiol",100,1.5938e-05,4.7976,6.8716e-05
"Hydroxyoctanoic acid",100,1.5938e-05,4.7976,6.8716e-05
"Octanoylcarnitine",0,1.5938e-05,4.7976,6.8716e-05
"2-Phenylaminoadenosine",0,1.5938e-05,4.7976,6.8716e-05
"Pyridoxamine",100,1.5938e-05,4.7976,6.8716e-05
"N-Acetyllactosamine",100,1.5938e-05,4.7976,6.8716e-05
"Ethenodeoxyadenosine",100,1.5938e-05,4.7976,6.8716e-05
"Guanidine",100,1.5938e-05,4.7976,6.8716e-05
"3,7-Dimethyluric acid",0,1.5938e-05,4.7976,6.8716e-05
"7-Methylxanthine",0,1.5938e-05,4.7976,6.8716e-05
"2-Phenylglycine",0,1.5938e-05,4.7976,6.8716e-05
"Nicotinuric acid",0,1.5938e-05,4.7976,6.8716e-05
"Pyrimidine",100,1.5938e-05,4.7976,6.8716e-05
"Diacetyl",100,1.5938e-05,4.7976,6.8716e-05
"5-Methoxytryptamine",0,1.5938e-05,4.7976,6.8716e-05
"3-Methyladenine",100,1.5938e-05,4.7976,6.8716e-05
"Alpha-Linolenoyl ethanolamide",100,1.5938e-05,4.7976,6.8716e-05
"Prednisolone",100,1.5938e-05,4.7976,6.8716e-05
"Harmine",0,1.5938e-05,4.7976,6.8716e-05
"DOPA",100,1.5938e-05,4.7976,6.8716e-05
"p-Synephrine",100,1.5938e-05,4.7976,6.8716e-05
"Cyromazine",100,1.5938e-05,4.7976,6.8716e-05
"Glycyl-Isoleucine",0,1.5938e-05,4.7976,6.8716e-05
"Betulin",0,1.5938e-05,4.7976,6.8716e-05
"4-Pyridoxic acid",100,1.5938e-05,4.7976,6.8716e-05
"L-Dihydroorotic acid",100,1.5938e-05,4.7976,6.8716e-05
"Isomaltose",100,1.5938e-05,4.7976,6.8716e-05
"Estrone",100,1.5938e-05,4.7976,6.8716e-05
"Hydroxyacetone",100,1.5938e-05,4.7976,6.8716e-05
"5'-Methylthioadenosine",0,1.5938e-05,4.7976,6.8716e-05
"Aminoadipic acid",0,1.5938e-05,4.7976,6.8716e-05
"Cortexolone",100,1.5938e-05,4.7976,6.8716e-05
"Glycylvaline",100,1.5938e-05,4.7976,6.8716e-05
"Deoxyguanosine",100,1.5938e-05,4.7976,6.8716e-05
"Maltol",0,1.5938e-05,4.7976,6.8716e-05
"Chenodeoxycholic acid",100,1.5938e-05,4.7976,6.8716e-05
"Methylguanidine",100,1.5938e-05,4.7976,6.8716e-05
"Leucylalanine",100,1.5938e-05,4.7976,6.8716e-05
"Deoxyinosine",0,1.5938e-05,4.7976,6.8716e-05
"Deoxyadenosine",0,1.5938e-05,4.7976,6.8716e-05
"2,6-Dimethylaniline",100,1.5938e-05,4.7976,6.8716e-05
"Cortisone",99,2.165e-05,4.6645,9.1839e-05
"D-Ribose",100,6.3864e-05,4.1947,0.00021813
"Ethylmalonic acid",0,6.3864e-05,4.1947,0.00021813
"Phosphonoacetate",100,6.3864e-05,4.1947,0.00021813
