"",V,p.value,-log10(p),FDR
Taurocholic acid,50,1,0,1
Butyric acid,100,1.5938e-05,4.7976,6.8716e-05
Glyoxylic acid,72,0.10512,0.9783,0.16756
Glycerol 3-phosphate,100,1.5938e-05,4.7976,6.8716e-05
Fumaric acid,50,1,0,1
D-Galactose,27,0.08921,1.0496,0.14573
Lactic acid,83,0.011496,1.9394,0.029354
L-Aspartic acid,0,1.5938e-05,4.7976,6.8716e-05
Phenylpyruvic acid,100,1.5938e-05,4.7976,6.8716e-05
myo-Inositol,57,0.63053,0.20029,0.70867
N-Acetyl-D-glucosamine,8,0.00072528,3.1395,0.0024145
Succinic acid,69,0.16549,0.78122,0.23275
D-Ribose,100,6.3864e-05,4.1947,0.00021813
Uracil,52,0.9118,0.040102,0.93673
"3b,7a,12a-Trihydroxy-5b-cholanoic acid",54,0.79594,0.099122,0.84069
2-Furoylglycine,100,1.5938e-05,4.7976,6.8716e-05
4-Hydroxybenzoic acid,60,0.4429,0.35369,0.52947
Glutaconic acid,26,0.075256,1.1235,0.12769
Ethylmalonic acid,0,6.3864e-05,4.1947,0.00021813
Dodecanedioic acid,100,1.5938e-05,4.7976,6.8716e-05
Deoxycholic acid,35,0.27986,0.55306,0.37362
D-alpha-Aminobutyric acid,40,0.4429,0.35369,0.52947
Leucinic acid,80,0.023231,1.6339,0.045594
Malonic acid,88,0.0028795,2.5407,0.008509
Methionine,47,0.85343,0.068833,0.89068
Levulinic acid,100,1.5938e-05,4.7976,6.8716e-05
Azelaic acid,43,0.63053,0.20029,0.70867
Sebacic acid,0,1.5938e-05,4.7976,6.8716e-05
Myristic acid,67,0.21756,0.66242,0.29958
p-Hydroxymandelic acid,100,1.5938e-05,4.7976,6.8716e-05
Tetradecanedioic acid,40,0.4429,0.35369,0.52947
Undecanedioic acid,57,0.63053,0.20029,0.70867
Dehydroepiandrosterone sulfate,82,0.01469,1.833,0.03504
Arachidonic acid,76,0.052426,1.2805,0.092537
N-Acetyl-L-glutamic acid,56,0.68421,0.16481,0.75927
N-Acetylserotonin,23,0.043257,1.3639,0.081261
Geranyl-PP,26,0.075256,1.1235,0.12769
m-Coumaric acid,20,0.017187,1.7648,0.03504
p-Cresol,10,0.0014209,2.8474,0.0043965
